DATE,HOUR,OPEN,HIGH,LOW,CLOSE
1996.12.01,00:00,1.2717,1.2827,1.2424,1.256
1997.01.01,00:00,1.2673,1.2715,1.1805,1.1948
1997.02.01,00:00,1.1924,1.1951,1.1456,1.1572
1997.03.01,00:00,1.155,1.1768,1.1364,1.1682
1997.04.01,00:00,1.1682,1.1762,1.1244,1.1304
1997.05.01,00:00,1.1302,1.1728,1.1273,1.1454
1997.06.01,00:00,1.1456,1.1489,1.1199,1.1213
1997.07.01,00:00,1.121,1.1244,1.0577,1.0638
1997.08.01,00:00,1.0634,1.0947,1.0344,1.0819
1997.09.01,00:00,1.0788,1.1193,1.0631,1.1113
1997.10.01,00:00,1.1113,1.144,1.0913,1.1334
1997.11.01,00:00,1.134,1.1537,1.1057,1.1091
1997.12.01,00:00,1.1097,1.1125,1.0893,1.1014
1998.01.01,00:00,1.088,1.1158,1.0608,1.0686
1998.02.01,00:00,1.0672,1.0962,1.0646,1.0767
1998.03.01,00:00,1.0778,1.0962,1.0721,1.0769
1998.04.01,00:00,1.0755,1.1101,1.07,1.1025
1998.05.01,00:00,1.101,1.1216,1.0991,1.1034
1998.06.01,00:00,1.101,1.1188,1.086,1.0983
1998.07.01,00:00,1.0959,1.1178,1.079,1.11
1998.08.01,00:00,1.108,1.1306,1.0876,1.1306
1998.09.01,00:00,1.129,1.184,1.1192,1.1801
1998.10.01,00:00,1.1777,1.2401,1.177,1.1902
1998.11.01,00:00,1.1905,1.1943,1.1455,1.16
1998.12.01,00:00,1.1595,1.1967,1.1565,1.1837
1999.01.01,00:00,1.1801,1.1862,1.1342,1.1367
1999.02.01,00:00,1.1383,1.1397,1.0926,1.1025
1999.03.01,00:00,1.0982,1.107,1.068,1.0769
1999.04.01,00:00,1.0767,1.0884,1.0547,1.0575
1999.05.01,00:00,1.0586,1.0833,1.0397,1.0422
1999.06.01,00:00,1.0418,1.0559,1.026,1.0362
1999.07.01,00:00,1.036,1.0746,1.0107,1.0714
1999.08.01,00:00,1.0699,1.0827,1.0398,1.0562
1999.09.01,00:00,1.0565,1.0729,1.0286,1.0679
1999.10.01,00:00,1.0679,1.0915,1.0431,1.0527
1999.11.01,00:00,1.0551,1.0594,1.0037,1.0085
1999.12.01,00:00,1.0085,1.0297,0.9991,1.0096
2000.01.01,00:00,1.0073,1.0415,0.9667,0.9711
2000.02.01,00:00,0.9711,1.0089,0.9401,0.9635
2000.03.01,00:00,0.9635,0.9793,0.9478,0.9552
2000.04.01,00:00,0.9562,0.9749,0.903,0.9117
2000.05.01,00:00,0.912,0.9412,0.8844,0.937
2000.06.01,00:00,0.937,0.97,0.9284,0.9523
2000.07.01,00:00,0.9524,0.9599,0.9192,0.9266
2000.08.01,00:00,0.9267,0.9293,0.8841,0.8886
2000.09.01,00:00,0.8886,0.904,0.8439,0.8842
2000.10.01,00:00,0.8841,0.8858,0.8227,0.8484
2000.11.01,00:00,0.8488,0.8796,0.8372,0.8724
2000.12.01,00:00,0.8727,0.943,0.8701,0.9427
2001.01.01,00:00,0.9421,0.9596,0.9115,0.9377
2001.02.01,00:00,0.9376,0.9445,0.9014,0.9235
2001.03.01,00:00,0.9234,0.9382,0.8749,0.8755
2001.04.01,00:00,0.8743,0.9093,0.8706,0.8892
2001.05.01,00:00,0.8893,0.9009,0.8439,0.8446
2001.06.01,00:00,0.8455,0.8674,0.841,0.8497
2001.07.01,00:00,0.8503,0.8825,0.8346,0.8763
2001.08.01,00:00,0.8762,0.9241,0.8737,0.9125
2001.09.01,00:00,0.9094,0.9335,0.8824,0.9114
2001.10.01,00:00,0.9103,0.9246,0.8867,0.9002
2001.11.01,00:00,0.9003,0.9121,0.8735,0.8956
2001.12.01,00:00,0.8956,0.9083,0.8741,0.8899
2002.01.01,00:00,0.8897,0.9069,0.857,0.8592
2002.02.01,00:00,0.8593,0.8803,0.8562,0.8695
2002.03.01,00:00,0.8693,0.887,0.8629,0.8719
2002.04.01,00:00,0.8716,0.9049,0.8714,0.9005
2002.05.01,00:00,0.9005,0.9416,0.899,0.9337
2002.06.01,00:00,0.933,0.9992,0.9302,0.9911
2002.07.01,00:00,0.9914,1.021,0.9714,0.9774
2002.08.01,00:00,0.9772,0.9919,0.9621,0.9815
2002.09.01,00:00,0.9824,0.9993,0.9608,0.9865
2002.10.01,00:00,0.9866,0.9931,0.9687,0.9906
2002.11.01,00:00,0.9904,1.0173,0.9877,0.9938
2002.12.01,00:00,0.9928,1.0507,0.986,1.0493
2003.01.01,00:00,1.0492,1.091,1.0335,1.0771
2003.02.01,00:00,1.0789,1.0938,1.0664,1.0806
2003.03.01,00:00,1.0779,1.1087,1.0502,1.0922
2003.04.01,00:00,1.0916,1.1191,1.0559,1.1183
2003.05.01,00:00,1.1182,1.1931,1.1154,1.1785
2003.06.01,00:00,1.172,1.1932,1.1399,1.1524
2003.07.01,00:00,1.1523,1.1613,1.1112,1.1233
2003.08.01,00:00,1.1234,1.143,1.0788,1.0985
2003.09.01,00:00,1.099,1.1739,1.0762,1.1658
2003.10.01,00:00,1.1653,1.1865,1.1531,1.1586
2003.11.01,00:00,1.1582,1.2019,1.1376,1.1998
2003.12.01,00:00,1.1988,1.2649,1.1935,1.2596
2004.01.01,00:00,1.2592,1.2901,1.2333,1.2467
2004.02.01,00:00,1.2481,1.293,1.2371,1.2495
2004.03.01,00:00,1.2481,1.2544,1.2046,1.2316
2004.04.01,00:00,1.2314,1.2391,1.1759,1.1986
2004.05.01,00:00,1.1996,1.23,1.177,1.2192
2004.06.01,00:00,1.2197,1.2356,1.1953,1.2186
2004.07.01,00:00,1.2188,1.2464,1.199,1.2019
2004.08.01,00:00,1.2069,1.2391,1.1968,1.2182
2004.09.01,00:00,1.2181,1.2446,1.2026,1.2428
2004.10.01,00:00,1.2429,1.2844,1.2224,1.2787
2004.11.01,00:00,1.2818,1.3336,1.2655,1.3289
2004.12.01,00:00,1.3289,1.367,1.3139,1.356
2005.01.01,00:00,1.3562,1.3581,1.2922,1.3045
2005.02.01,00:00,1.3046,1.328,1.2732,1.3215
2005.03.01,00:00,1.3216,1.3483,1.2856,1.2965
2005.04.01,00:00,1.2962,1.3127,1.2767,1.2874
2005.05.01,00:00,1.2862,1.2993,1.2294,1.2308
2005.06.01,00:00,1.2308,1.2356,1.1982,1.2094
2005.07.01,00:00,1.2091,1.2259,1.1865,1.2123
2005.08.01,00:00,1.2123,1.2489,1.2117,1.2342
2005.09.01,00:00,1.2341,1.2591,1.1978,1.2064
2005.10.01,00:00,1.202,1.2209,1.1875,1.1984
2005.11.01,00:00,1.1983,1.2085,1.1638,1.179
2005.12.01,00:00,1.179,1.2064,1.166,1.1838
2006.01.01,00:00,1.1849,1.2324,1.1801,1.2148
2006.02.01,00:00,1.2141,1.2167,1.1825,1.1931
2006.03.01,00:00,1.1929,1.2209,1.1859,1.2116
2006.04.01,00:00,1.2119,1.2643,1.2031,1.2635
2006.05.01,00:00,1.2629,1.2973,1.2555,1.2817
2006.06.01,00:00,1.2817,1.2981,1.2478,1.279
2006.07.01,00:00,1.2788,1.2864,1.2457,1.2767
2006.08.01,00:00,1.2769,1.2942,1.2694,1.2806
2006.09.01,00:00,1.2809,1.2877,1.2629,1.2673
2006.10.01,00:00,1.2683,1.2782,1.2483,1.2765
2006.11.01,00:00,1.2764,1.3273,1.2681,1.3238
2006.12.01,00:00,1.3238,1.3364,1.3051,1.3204
2007.01.01,00:00,1.3189,1.3296,1.2865,1.3021
2007.02.01,00:00,1.3022,1.3258,1.2911,1.3223
2007.03.01,00:00,1.3225,1.341,1.307,1.3354
2007.04.01,00:00,1.3372,1.3681,1.3318,1.3642
2007.05.01,00:00,1.3641,1.3671,1.3406,1.3451
2007.06.01,00:00,1.3451,1.3553,1.3262,1.354
2007.07.01,00:00,1.3542,1.3851,1.3527,1.3677
2007.08.01,00:00,1.3679,1.3838,1.336,1.3628
2007.09.01,00:00,1.3628,1.4278,1.355,1.4266
2007.10.01,00:00,1.428,1.4503,1.4014,1.4471
2007.11.01,00:00,1.4472,1.4966,1.4403,1.4638
2007.12.01,00:00,1.4648,1.4769,1.4309,1.4595
2008.01.01,00:00,1.4652,1.4921,1.4365,1.4847
2008.02.01,00:00,1.485,1.5238,1.4438,1.5178
2008.03.01,00:00,1.5212,1.5902,1.5145,1.5761
2008.04.01,00:00,1.5764,1.6018,1.551,1.5619
2008.05.01,00:00,1.5619,1.5818,1.5284,1.5554
2008.06.01,00:00,1.5561,1.5843,1.5302,1.5753
2008.07.01,00:00,1.5753,1.6038,1.5521,1.5597
2008.08.01,00:00,1.5597,1.5631,1.4571,1.4678
2008.09.01,00:00,1.4709,1.4867,1.3881,1.4115
2008.10.01,00:00,1.4115,1.4174,1.233,1.2727
2008.11.01,00:00,1.2766,1.3114,1.2389,1.269
2008.12.01,00:00,1.2694,1.4719,1.2552,1.3956
2009.01.01,00:00,1.3868,1.3986,1.2763,1.2812
2009.02.01,00:00,1.2752,1.3093,1.2512,1.2666
2009.03.01,00:00,1.2617,1.3737,1.2456,1.32426
2009.04.01,00:00,1.32416,1.35806,1.28844,1.32236
2009.05.01,00:00,1.32235,1.41678,1.32123,1.41597
2009.06.01,00:00,1.41322,1.43378,1.37477,1.40352
2009.07.01,00:00,1.4036,1.43036,1.38323,1.42561
2009.08.01,00:00,1.42703,1.44465,1.40454,1.43311
2009.09.01,00:00,1.4331,1.48427,1.4177,1.46368
2009.10.01,00:00,1.46367,1.50617,1.44835,1.47185
2009.11.01,00:00,1.47346,1.51437,1.46262,1.50075
2009.12.01,00:00,1.50074,1.51399,1.42175,1.43278
2010.01.01,00:00,1.43259,1.45785,1.3861,1.38611
2010.02.01,00:00,1.38627,1.40255,1.34433,1.3631
2010.03.01,00:00,1.36222,1.38171,1.32671,1.35062
2010.04.01,00:00,1.35065,1.36913,1.31141,1.32936
2010.05.01,00:00,1.33296,1.33326,1.21435,1.2308
2010.06.01,00:00,1.23061,1.24664,1.18758,1.22302
2010.07.01,00:00,1.223,1.3106,1.2193,1.30504
2010.08.01,00:00,1.30596,1.33327,1.25874,1.26889
2010.09.01,00:00,1.26892,1.36825,1.26434,1.36283
2010.10.01,00:00,1.36295,1.41505,1.36183,1.39459
2010.11.01,00:00,1.39703,1.42813,1.29694,1.29811
2010.12.01,00:00,1.29809,1.34966,1.29707,1.33836
2011.01.01,00:00,1.33443,1.37573,1.28736,1.36908
2011.02.01,00:00,1.36908,1.38607,1.34279,1.38088
2011.03.01,00:00,1.38088,1.42479,1.37447,1.41736
2011.04.01,00:00,1.41733,1.48809,1.40614,1.48062
2011.05.01,00:00,1.48249,1.49385,1.39692,1.43945
2011.06.01,00:00,1.43947,1.46955,1.40731,1.44906
2011.07.01,00:00,1.44908,1.45769,1.38371,1.43945
2011.08.01,00:00,1.43607,1.45482,1.40553,1.43725
2011.09.01,00:00,1.43725,1.43767,1.33624,1.33846
2011.10.01,00:00,1.33447,1.4246,1.31458,1.38594
2011.11.01,00:00,1.38592,1.38702,1.32119,1.34392
2011.12.01,00:00,1.34392,1.35449,1.28577,1.2946
2012.01.01,00:00,1.29443,1.3233,1.26241,1.30879
2012.02.01,00:00,1.30881,1.34856,1.29745,1.33232
2012.03.01,00:00,1.33227,1.33848,1.30032,1.33408
2012.04.01,00:00,1.33562,1.33801,1.29945,1.32417
2012.05.01,00:00,1.32416,1.32828,1.23362,1.23597
2012.06.01,00:00,1.23594,1.27468,1.22882,1.26655
2012.07.01,00:00,1.26696,1.26703,1.20418,1.22989
2012.08.01,00:00,1.22989,1.2636,1.21337,1.25783
2012.09.01,00:00,1.25803,1.31706,1.25012,1.28595
2012.10.01,00:00,1.28488,1.31384,1.28031,1.29582
2012.11.01,00:00,1.29581,1.30267,1.26612,1.29848
2012.12.01,00:00,1.29934,1.33076,1.28769,1.3197
2013.01.01,00:00,1.32036,1.35931,1.29975,1.35869
2013.02.01,00:00,1.35864,1.37106,1.3018,1.30665
2013.03.01,00:00,1.30664,1.31341,1.27509,1.28148
2013.04.01,00:00,1.28112,1.32015,1.27454,1.31664
2013.05.01,00:00,1.31667,1.32427,1.27962,1.29956
2013.06.01,00:00,1.29922,1.34158,1.29555,1.30078
2013.07.01,00:00,1.30144,1.33446,1.27553,1.32963
2013.08.01,00:00,1.33022,1.34518,1.3175,1.32195
2013.09.01,00:00,1.32122,1.35685,1.31047,1.35215
2013.10.01,00:00,1.35215,1.3832,1.34734,1.3588
2013.11.01,00:00,1.35878,1.36214,1.32959,1.35901
2013.12.01,00:00,1.35878,1.3893,1.35241,1.37686
2014.01.01,00:00,1.3755,1.37749,1.3479,1.34849
2014.02.01,00:00,1.34855,1.38241,1.3477,1.38016
2014.03.01,00:00,1.37856,1.39666,1.37047,1.37735
2014.04.01,00:00,1.37734,1.39057,1.36725,1.38653
2014.05.01,00:00,1.38656,1.39932,1.35858,1.36339
2014.06.01,00:00,1.36304,1.36969,1.35028,1.36927
2014.07.01,00:00,1.36928,1.36991,1.33665,1.33877
2014.08.01,00:00,1.33872,1.34446,1.31323,1.31323
2014.09.01,00:00,1.31292,1.316,1.25712,1.26307
2014.10.01,00:00,1.26306,1.28868,1.24851,1.25231
2014.11.01,00:00,1.25085,1.25991,1.23571,1.24498
2014.12.01,00:00,1.24613,1.25696,1.20973,1.21018
2015.01.01,00:00,1.20538,1.2069,1.1097,1.12844
2015.02.01,00:00,1.13115,1.15332,1.11758,1.11957
2015.03.01,00:00,1.11805,1.12402,1.04619,1.07308
2015.04.01,00:00,1.07331,1.12659,1.05202,1.12222
2015.05.01,00:00,1.12188,1.14661,1.08185,1.09895
2015.06.01,00:00,1.09835,1.1436,1.08865,1.11453
2015.07.01,00:00,1.1138,1.12153,1.08078,1.09831
2015.08.01,00:00,1.09711,1.17138,1.08477,1.1209
2015.09.01,00:00,1.12079,1.146,1.10869,1.11763
2015.10.01,00:00,1.11748,1.14949,1.08966,1.1005
2015.11.01,00:00,1.10266,1.10527,1.05576,1.05643
2015.12.01,00:00,1.05639,1.10593,1.05222,1.08553
2016.01.01,00:00,1.08696,1.09844,1.07104,1.083
2016.02.01,00:00,1.08297,1.13761,1.08142,1.08718
2016.03.01,00:00,1.08751,1.14115,1.08219,1.13788
2016.04.01,00:00,1.13777,1.14645,1.12145,1.14504
2016.05.01,00:00,1.14582,1.16159,1.10977,1.11303
2016.06.01,00:00,1.11301,1.14278,1.09113,1.11048
2016.07.01,00:00,1.11014,1.11972,1.09314,1.11743
2016.08.01,00:00,1.11715,1.13661,1.10453,1.11571
2016.09.01,00:00,1.11562,1.13266,1.11228,1.12399
2016.10.01,00:00,1.12262,1.12439,1.08507,1.09762
2016.11.01,00:00,1.09761,1.12991,1.05176,1.0587
2016.12.01,00:00,1.05891,1.08734,1.03249,1.05129
2017.01.01,00:00,1.051,1.0812,1.03399,1.07968
2017.02.01,00:00,1.07958,1.08284,1.04933,1.05757
2017.03.01,00:00,1.05731,1.09057,1.04946,1.06462
2017.04.01,00:00,1.06591,1.09506,1.05695,1.08921
2017.05.01,00:00,1.09086,1.1268,1.08387,1.1243
2017.06.01,00:00,1.12429,1.14451,1.11186,1.14254
2017.07.01,00:00,1.14175,1.18446,1.13121,1.18397
2017.08.01,00:00,1.18397,1.20699,1.16619,1.19039
2017.09.01,00:00,1.19039,1.20921,1.17171,1.18131
2017.10.01,00:00,1.17945,1.18797,1.15742,1.16457
2017.11.01,00:00,1.16451,1.19611,1.1554,1.19035
2017.12.01,00:00,1.19031,1.20255,1.17175,1.19941
2018.01.01,00:00,1.20088,1.25378,1.19155,1.24132
2018.02.01,00:00,1.24132,1.25554,1.21878,1.21929
2018.03.01,00:00,1.21924,1.24763,1.21546,1.23218
2018.04.01,00:00,1.23192,1.24137,1.20553,1.20774
2018.05.01,00:00,1.20772,1.2084,1.15098,1.16906
2018.06.01,00:00,1.16879,1.18519,1.15078,1.16831
2018.07.01,00:00,1.16841,1.17908,1.15747,1.16906
2018.08.01,00:00,1.16895,1.17333,1.13006,1.16021
2018.09.01,00:00,1.15955,1.18148,1.15255,1.1602
2018.10.01,00:00,1.16156,1.16243,1.13017,1.13135
2018.11.01,00:00,1.13134,1.14994,1.12153,1.13155
2018.12.01,00:00,1.13499,1.14855,1.12694,1.14596
2019.01.01,00:00,1.14454,1.15698,1.12889,1.14461
2019.02.01,00:00,1.14468,1.1488,1.12336,1.13696
2019.03.01,00:00,1.13697,1.14477,1.11756,1.12166
2019.04.01,00:00,1.12258,1.13235,1.11105,1.1214
2019.05.01,00:00,1.12148,1.12644,1.11066,1.11676
2019.06.01,00:00,1.11644,1.14116,1.11596,1.13693
2019.07.01,00:00,1.1367,1.13707,1.10601,1.10749
2019.08.01,00:00,1.10749,1.12495,1.0963,1.09893
2019.09.01,00:00,1.09899,1.11094,1.08846,1.08991
2019.10.01,00:00,1.08991,1.11793,1.0879,1.11514
2019.11.01,00:00,1.11514,1.11753,1.0981,1.10152
2019.12.01,00:00,1.10241,1.12392,1.10029,1.12154
2020.01.01,00:00,1.12132,1.12143,1.09922,1.10943
2020.02.01,00:00,1.10907,1.10927,1.07775,1.10293
2020.03.01,00:00,1.10407,1.14964,1.06355,1.10349
2020.04.01,00:00,1.10299,1.1039,1.07269,1.09507
2020.05.01,00:00,1.09485,1.1145,1.07664,1.11076
2020.06.01,00:00,1.1115,1.14222,1.11003,1.12336
2020.07.01,00:00,1.1234,1.19086,1.11847,1.17713
2020.08.01,00:00,1.17697,1.1966,1.16957,1.19361
2020.09.01,00:00,1.19358,1.20108,1.16122,1.1721
2020.10.01,00:00,1.1721,1.18806,1.16398,1.16462
2020.11.01,00:00,1.16468,1.20034,1.16019,1.19256
2020.12.01,00:00,1.19261,1.23099,1.19253,1.22129
2021.01.01,00:00,1.22395,1.23494,1.20536,1.21353
2021.02.01,00:00,1.21301,1.22432,1.19522,1.20727
2021.03.01,00:00,1.20688,1.21132,1.17041,1.17298
2021.04.01,00:00,1.17298,1.21502,1.17124,1.20208
2021.05.01,00:00,1.20301,1.22664,1.1986,1.2225
2021.06.01,00:00,1.22254,1.22543,1.18452,1.1856
2021.07.01,00:00,1.18559,1.19087,1.17519,1.1873
2021.08.01,00:00,1.18641,1.18997,1.1664,1.18083
2021.09.01,00:00,1.18078,1.19091,1.15626,1.15769
2021.10.01,00:00,1.1574,1.164,1.15292,1.15493
